Albert Einstein College of Medicine,AECOM,einsteinmed.org
United States Air Force Academy,AFA,usafa.af.mil
United States Naval Academy,Annapolis,usna.edu
Texas A&M University,A&M,tamu.edu
A&M (disambiguation),A&M
Texas A&M University–Corpus Christi,A&M-CC,A&M-Corpus Christi,tamucc.edu
North Carolina A&T State University,A&T,ncat.edu
The Apprentice School,Newport News,as.edu
Austin Peay State University,APSU,apsu.edu
Alabama State University,ALASU,alasu.edu
United States Military Academy,Army,westpoint.edu
Alabama State University,ASU,alasu.edu
Albany State University,ASU,asurams.edu
Alcorn State University,ASU,alcorn.edu
Angelo State University,ASU,angelo.edu
Appalachian State University,ASU,appstate.edu
Arizona State University,ASU,asu.edu
Arkansas State University,ASU,astate.edu
Augusta State University,ASU,Archive of aug.edu at the Wayback Machine (archive index)
Armstrong State University,ASU,University  Campus
Adelphi University,AU,adelphi.edu
Alfred University,AU,alfred.edu
American University,AU,american.edu
Anderson University (Indiana),AU,anderson.edu
Asbury University,AU,asbury.edu
Auburn University,AU,auburn.edu
Ashford University,AU,ashford.edu
Arcadia University,AU,arcadia.edu
AUGUSTA UNIVERSITY (page does not exist),AU
Auburn University Montgomery,AUM,aum.edu
University of Alabama,Bama,ua.edu
Boston College,BC,bc.edu
Bethel College (Kansas),BC,bethelks.edu
"University of California, Berkeley",Berkeley,berkeley.edu
Bowling Green State University,BGSU,bgsu.edu
Black Hills State University,BHSU,bhsu.edu
Bob Jones University,BJU,bju.edu
Bryn Mawr College,BMC,brynmawr.edu
St. Bonaventure University,Bona,sbu.edu
Brown University,Brown,brown.edu
Birmingham-Southern College,BSC,bsc.edu
Ball State University,BSU,bsu.edu
Boise State University,BSU,boisestate.edu
Bemidji State University,BSU,bemidjistate.edu
Bowie State University,BSU,bowiestate.edu
Baylor University,BU,baylor.edu
Belmont University,BU,belmont.edu
Binghamton University,BU,binghamton.edu
Biola University,BU,biola.edu
Boston University,BU,bu.edu
Bradley University,BU,bradley.edu
Butler University,BU,butler.edu
Brigham Young University,BYU,byu.edu
California Baptist University,CBU,calbaptist.edu
College of Charleston,C of C,cofc.edu
"University of California, Berkeley",Cal,berkeley.edu
California Polytechnic State University,Cal Poly,calpoly.edu
"California State Polytechnic University, Pomona",Cal Poly Pomona,cpp.edu
California Institute of Technology,Caltech,caltech.edu
California University of Pennsylvania,Cal U,CUP,calu.edu
California State University,Cal State,calstate.edu
University of North Carolina at Chapel Hill,Carolina,unc.edu
University of South Carolina,Carolina,sc.edu
Catholic University of America,Catholic,Catholic.edu
Central State University,Central,centralstate.edu
North Carolina Central University,Central,nccu.edu
Colorado College,CC,coloradocollege.edu
City College of New York,CCNY,ccny.cuny.edu
Central Connecticut State University,CCSU,ccsu.edu
Coastal Carolina University,CCU,coastal.edu
Community College of Vermont,CCV,ccv.edu
Claremont Graduate University,CGU,cgu.edu
University of North Carolina at Chapel Hill,Chapel Hill,unc.edu
University of North Carolina at Charlotte,Charlotte,uncc.edu
University of Tennessee at Chattanooga,Chatt,Chattanooga,utc.edu
Chattanooga State Community College,Chatt State,chattanoogastate.edu
"California State University, Chico",Chico State,csuchico.edu
New York City College of Technology,City Tech,citytech.cuny.edu
The Culinary Institute of America,CIA,ciachef.edu
Claremont McKenna College,CMC,cmc.edu
