Abilene Christian University,Wildcats,Abilene,acu.edu
Abraham Baldwin Agricultural College,Golden Stallions,Tifton,abac.edu
Adams State College,Grizzlies,Alamosa,adams.edu
Adelphi University,Panthers,Garden City,adelphi.edu
Adrian College,Bulldogs,Adrian,adrian.edu
U.S. Air Force Academy,Falcons,Air Force Academy,usafa.af.mil
University of Akron,Zips,Akron,uakron.edu
University of Alabama,Crimson Tide,Tuscaloosa,ua.edu
University of Alabama in Birmingham,Blazers,Birmingham,uab.edu
University of Alabama in Huntsville,Chargers,Huntsville,uah.edu
Alabama A&M University,Bulldogs,Lady Bulldogs,Normal,aamu.edu
Alabama State University,Hornets,Lady Hornets,Montgomery,alasu.edu
University of Alaska Anchorage,Seawolves,Anchorage,uaa.alaska.edu
University of Alaska Fairbanks,Nanooks,College,uaf.edu
"University at Albany, The State University of New York",Great Danes,Albany,albany.edu
Albright College,Lions,Reading,albright.edu
Alcorn State University,Braves,Lady Braves,Lorman,alcorn.edu
Albertus Magnus College,Falcons,New Haven,albertus.edu
Alderson-Broaddus College,Battlers,Philippi,ab.edu
Alfred University,Saxons,Alfred,alfred.edu
Alice Lloyd College,Eagles,Pippa Passes,alc.edu
Allegheny College,Gators,Meadville,allegheny.edu
Alma College,Scots,Alma,alma.edu
Alvernia University,Reading,alvernia.edu
American International College,Yellow Jackets,Springfield,aic.edu
American University,Eagles,Washington,american.edu
Amherst College,Amherst,amherst.edu
Anderson University (Indiana),Ravens,Anderson,anderson.edu
Anderson University (South Carolina),Trojans,Anderson,andersonuniversity.edu
Angelo State University,Rams,San Angelo,angelo.edu
Appalachian State University,Mountaineers,Boone,appstate.edu
Arcadia University,Glenside,arcadia.edu
Armstrong State Pirates and Lady Pirates,Pirates,Savannah,armstrongpirates.com
University of Arizona,Wildcats,Tucson,arizona.edu
Arizona State University,Sun Devils,Tempe,asu.edu
University of Arkansas,Razorbacks,Fayetteville,uark.edu
University of Arkansas at Little Rock,Trojans,Little Rock,ualr.edu
University of Arkansas at Monticello,Boll Weevils,Cotton Blossoms,Monticello,uamont.edu
University of Arkansas at Pine Bluff,UAPB,The Yard,Pine Bluff,uapb.edu
Arkansas State University,Red Wolves (Indians 1931–2008),Jonesboro,astate.edu
Arkansas Tech University,Wonder Boys,Golden Suns,Russellville,atu.edu
United States Military Academy,Black Knights,West Point,westpoint.edu
ASA College,New York,Miami,asa.edu
Ashford University,The Saints,San Diego[4],ashford.edu
Ashland University,Eagles,Ashland,ashland.edu
Association Free Lutheran Bible School and Seminary,Plymouth[1],aflbs.org
Assumption College,Greyhounds,Worcester,assumption.edu
Auburn University,Tigers,Auburn,auburn.edu
Auburn University at Montgomery,Warhawks,Montgomery,aum.edu
Augsburg University,Auggies,Minneapolis,augsburg.edu
Augustana College (Illinois),Augie,Rock Island,augustana.edu
Aurora University,Spartans,Aurora,aurora.edu
Austin College,Kangaroos,The Fighting 'Roos,Sherman,austincollege.edu
Austin Peay State University,Clarksville,apsu.edu
Ave Maria University,Gyrenes,Ave Maria,avemaria.edu
Avila University,Eagles,Kansas City,avila.edu
Azusa Pacific University,Cougars,Azusa,apu.edu
Babson College,Beavers,Wellesley,babson.edu
Baker University,Wildcats,Baldwin City,BakerU.edu
Baldwin-Wallace College,Yellow Jackets,Berea,bw.edu
Ball State University,Cardinals,Muncie,bsu.edu
Bard College,Raptors,Annandale-on-Hudson,bard.edu
Barry University,Buccaneers,Miami Shores,barry.edu
Bates College,Bobcats,Lewiston,Bates.edu
Baylor University,Bears,Lady Bears,Waco,baylor.edu
Bellevue University,Bruins,Bellevue,bellevue.edu
Belmont University,Bruins,Nashville,belmont.edu
Belmont Abbey College,Crusaders,Belmont,BelmontAbbeyCollege.edu
Beloit College, Beloit,beloit.edu
Bemidji State University,Beavers,Bemidji,bemidjistate.edu
Benedict College,Tigers,Columbia,benedict.edu
Benedictine College,Ravens,Atchison,benedictine.edu
Bentley College,Falcons,Waltham,bentley.edu
Berea College,Mountaineers,Berea,berea.edu
Bethany College (Kansas),Lindsborg,bethanylb.edu
Bethany College (West Virginia),Bethany,bethanywv.edu
